"x","y","MPA_1","MPA_2","MPA_3","MPA_4","MPA_5","MPA_6","MPA_7","MPA_8","MPA_9","MPA_10"
-88.97,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.94,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.91,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.88,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.85,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.82,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.79,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.76,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.73,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.7,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.67,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.64,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.61,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.58,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.55,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.52,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.49,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.46,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.43,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.4,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.37,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.34,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.31,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.28,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.25,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.22,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.19,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.16,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.13,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.1,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.07,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.04,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.01,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.98,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.95,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.92,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.89,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.86,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.83,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.8,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.77,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.74,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.71,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.68,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.65,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.62,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.59,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.56,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.53,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.5,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.47,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.44,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-87.41,18.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.97,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.94,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.91,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.88,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.85,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.82,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.79,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.76,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.73,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.7,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.67,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.64,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.61,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.58,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.55,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.52,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.49,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.46,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.43,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.4,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.37,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.34,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.31,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.28,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.25,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.22,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-88.19,18.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
